season,week,avg_time_to_throw,pass_yards,pass_touchdowns,completions,attempts,interceptions,aggressiveness,completion_percentage,expected_completion_percentage,away_rest,home_rest,wind,temp,home_advantage,dome
2020,1,3.0618913043478257,312,2,33,46,0,8.695652173913043,71.73913043478261,69.28808792777683,7,7,15.0,67.0,1,0
2020,2,2.7759714285714288,415,4,24,35,0,20.0,68.57142857142857,65.755660874503,7,7,5.0,90.0,0,0
2020,3,3.3679696969696966,311,4,24,33,1,12.12121212121212,72.72727272727273,65.50531604073264,7,7,16.0,79.0,1,0
2020,4,2.9200000000000004,288,2,24,34,0,14.705882352941178,70.58823529411765,66.88220001318875,7,7,0.0,48.0,0,1
2020,5,3.147926829268293,263,2,26,41,2,17.073170731707318,63.41463414634146,65.4610894075254,9,16,3.0,73.0,0,0
2020,6,3.202148148148148,122,2,14,27,1,22.22222222222222,51.85185185185185,58.27980041503906,8,6,6.0,51.0,1,0
2020,7,2.969906976744186,307,0,30,43,0,9.30232558139535,69.76744186046511,67.49335769997087,6,7,8.0,52.0,0,0
2020,8,3.1045555555555557,154,0,11,18,1,16.666666666666664,61.111111111111114,65.28407823708322,7,7,17.0,41.0,1,0
2020,9,2.9309736842105267,415,3,31,38,0,10.526315789473683,81.57894736842105,68.99328086721269,7,7,4.0,69.0,1,0
2020,10,3.0615510204081633,284,2,32,49,2,16.3265306122449,65.3061224489796,60.053327314707694,7,7,0.0,48.0,0,0
2020,12,2.726625,157,1,18,24,1,12.5,75.0,68.9830324302117,7,14,7.0,48.0,1,0
2020,13,3.0188250000000005,375,4,32,40,0,5.0,80.0,67.56944537162781,8,8,0.0,48.0,0,0
2020,14,2.943023255813954,238,2,24,43,1,18.6046511627907,55.81395348837209,60.18686076236326,6,6,11.0,35.0,1,0
2020,15,3.0379,359,2,28,40,0,7.5,70.0,61.97584066540003,6,6,24.0,47.0,0,0
2020,16,3.2790277777777774,320,4,27,36,0,13.88888888888889,75.0,64.98978336652121,9,8,4.0,41.0,0,0
2020,17,3.1847200000000004,224,3,18,25,1,8.0,72.0,65.36833333969116,8,6,1.0,35.0,1,0
2020,18,3.3786857142857145,324,2,26,35,0,8.571428571428571,74.28571428571429,65.62148694481168,6,6,6.0,34.0,1,0
2020,19,3.0031621621621625,206,1,23,37,0,21.62162162162162,62.16216216216216,61.923432954259816,6,7,13.0,34.0,1,0
2020,20,3.163520833333333,287,2,28,48,1,18.75,58.333333333333336,60.35578750694791,8,7,7.0,40.0,0,0
2021,1,2.776823529411766,270,1,30,51,0,11.76470588235294,58.82352941176471,65.61899903942557,7,7,17.0,73.0,1,0
2021,2,2.9816969696969697,179,2,17,33,1,15.151515151515152,51.51515151515152,57.01399016560931,7,7,7.0,89.0,0,0
2021,3,2.936976744186047,358,4,32,43,0,9.30232558139535,74.4186046511628,64.30887413579363,10,7,21.0,67.0,1,0
2021,4,2.7314000000000003,248,2,20,30,1,13.333333333333334,66.66666666666666,65.94220559511866,10,7,12.0,67.0,1,0
2021,5,3.209769230769231,315,3,15,26,0,19.230769230769234,57.692307692307686,59.29804851229375,7,7,0.0,76.0,0,0
2021,6,2.936553191489362,353,3,35,47,1,14.893617021276595,74.46808510638297,66.5676197631562,8,8,6.0,66.0,0,0
2021,8,2.4314761904761903,249,2,29,42,0,4.761904761904762,69.04761904761905,69.73019440968832,7,13,9.0,54.0,1,0
